Amount,Currency,Rate,Provider,Region,Payment Status,Payment Channel,Mode,Provider Message,Payment Date,,,,,,,,,,,,,,
500,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T23:58:30Z,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,failed,card,LIVE,Request to Generate Token is Successful,2025-11-15T23:53:51Z,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,failed,card,LIVE,Request to Generate Token is Successful,2025-11-15T23:51:53Z,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,failed,card,LIVE,Request to Generate Token is Successful,2025-11-15T23:49:33Z,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,failed,card,LIVE,Request to Generate Token is Successful,2025-11-15T23:48:09Z,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,failed,card,LIVE,Request to Generate Token is Successful,2025-11-15T23:46:34Z,,,,,,,,,,,,,,
5,USD,12.63,spotflow_accounts,Ghana,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T23:41:40Z,,,,,,,,,,,,,,
70000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T23:37:56Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T23:37:46Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T23:33:16Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T23:21:00Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T23:14:57Z,,,,,,,,,,,,,,
100,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T23:11:49Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T23:09:24Z,,,,,,,,,,,,,,
50417,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T23:07:23Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T23:06:21Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,"The MTN Mobile Money user has reached counter or balance limits""",Audiomack Inc.,5,USD,1499.85,spotflow_accounts,Nigeria,dollarkuch2@gmail.com,abandoned,2018282937,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,,,2025-11-15T22:57:13Z
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T22:50:43Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T22:49:22Z,,,,,,,,,,,,,,
10,USD,139.42,cellulant,Kenya,abandoned,mobile_money,LIVE,You will receive a prompt on your mobile number 254704434622 to authorize a payment of KES 1394.2 for SPOTFLOW,2025-11-15T22:41:35Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T22:38:28Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T22:32:24Z,,,,,,,,,,,,,,
200,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T22:18:49Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T22:08:24Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T22:07:38Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T22:03:38Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T21:54:54Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T21:52:30Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T21:51:08Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T21:48:27Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T21:46:23Z,,,,,,,,,,,,,,
20,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T21:46:18Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T21:37:10Z,,,,,,,,,,,,,,
500,GHS,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T21:29:15Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T21:29:09Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T21:24:25Z,,,,,,,,,,,,,,
8,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T21:21:18Z,,,,,,,,,,,,,,
7,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T21:20:53Z,,,,,,,,,,,,,,
1,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T21:16:47Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T21:13:02Z,,,,,,,,,,,,,,
5,USD,12.63,paystack,Ghana,abandoned,card,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T21:12:44Z,,,,,,,,,,,,,,
5,USD,12.63,paystack,Ghana,abandoned,card,LIVE,,2025-11-15T21:10:32Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T21:10:30Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T20:52:45Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T20:51:51Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T20:48:17Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T20:46:25Z,,,,,,,,,,,,,,
10,USD,2627.66,tembo_plus,Tanzania,failed,mobile_money,LIVE,PROVIDER_FAILED,2025-11-15T20:43:37Z,,,,,,,,,,,,,,
5,USD,12.63,paystack,Ghana,successful,card,LIVE,,2025-11-15T20:37:04Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T20:30:19Z,,,,,,,,,,,,,,
150,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T20:26:26Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T20:25:53Z,,,,,,,,,,,,,,
100,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T20:17:41Z,,,,,,,,,,,,,,
100,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T19:54:49Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T19:49:40Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T19:49:36Z,,,,,,,,,,,,,,
1000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T19:46:52Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T19:41:11Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T19:34:37Z,,,,,,,,,,,,,,
16,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,"The MTN Mobile Money user has reached counter or balance limits""",Audiomack Inc.,20,USD,12.63,hubtel,Ghana,mg2209387@gmail.com,failed,,mobile_money,LIVE,Please enter the one time password sent to your phone,,,2025-11-15T19:28:59Z
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T19:25:22Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,Transaction id is invalid,2025-11-15T19:24:16Z,,,,,,,,,,,,,,
20,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T19:23:59Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,cancelled,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T19:19:53Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T19:19:50Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T19:17:30Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T19:13:48Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T19:10:33Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T19:03:21Z,,,,,,,,,,,,,,
15,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T19:01:56Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T18:57:10Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T18:54:28Z,,,,,,,,,,,,,,
10,USD,2627.66,tembo_plus,Tanzania,failed,mobile_money,LIVE,INSUFFICIENT_FUNDS,2025-11-15T18:53:53Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T18:53:37Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T18:50:01Z,,,,,,,,,,,,,,
50,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,"The MTN Mobile Money user has reached counter or balance limits""",Audiomack Inc.,5,USD,1499.85,spotflow_accounts,Nigeria,okoroemmanuelemmanuel276@gmail.com,abandoned,5102390505,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,,,2025-11-15T18:29:14Z
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T18:25:48Z,,,,,,,,,,,,,,
10,USD,2627.66,tembo_plus,Tanzania,failed,mobile_money,LIVE,INSUFFICIENT_FUNDS,2025-11-15T18:23:55Z,,,,,,,,,,,,,,
1000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T18:20:32Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T18:19:08Z,,,,,,,,,,,,,,
10,USD,2627.66,tembo_plus,Tanzania,failed,mobile_money,LIVE,INSUFFICIENT_FUNDS,2025-11-15T18:18:14Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T18:16:05Z,,,,,,,,,,,,,,
5,USD,2627.66,tembo_plus,Tanzania,successful,mobile_money,LIVE,Payment completed,2025-11-15T18:15:28Z,,,,,,,,,,,,,,
1000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T18:14:22Z,,,,,,,,,,,,,,
10,USD,12.63,hubtel,Ghana,cancelled,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T18:11:45Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T18:01:11Z,,,,,,,,,,,,,,
15,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:54:12Z,,,,,,,,,,,,,,
5,USD,18.19,ozow,South Africa,abandoned,eft,LIVE,Internet banking session timed out,2025-11-15T17:50:10Z,,,,,,,,,,,,,,
500,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:44:26Z,,,,,,,,,,,,,,
500,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:42:27Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:40:24Z,,,,,,,,,,,,,,
2000,USD,2627.66,tembo_plus,Tanzania,failed,mobile_money,LIVE,PROVIDER_FAILED,2025-11-15T17:38:23Z,,,,,,,,,,,,,,
1,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T17:29:39Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:25:30Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:20:39Z,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,abandoned,card,LIVE,expecting-3d-response,2025-11-15T17:18:34Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:16:56Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:08:14Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:07:34Z,,,,,,,,,,,,,,
5,USD,18.19,ozow,South Africa,failed,eft,LIVE,,2025-11-15T17:06:48Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:06:26Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:04:57Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:04:10Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:03:32Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:02:28Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:02:07Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:01:37Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:01:26Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T17:01:04Z,,,,,,,,,,,,,,
5,USD,18.19,ozow,South Africa,failed,eft,LIVE,,2025-11-15T17:00:13Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:58:47Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:57:49Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T16:53:21Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:52:10Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:48:43Z,,,,,,,,,,,,,,
1000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:47:56Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:46:58Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:46:36Z,,,,,,,,,,,,,,
100,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:40:49Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:24:49Z,,,,,,,,,,,,,,
70,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T16:18:17Z,,,,,,,,,,,,,,
40,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T16:08:37Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:05:46Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T16:05:13Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:03:54Z,,,,,,,,,,,,,,
40,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,Transaction Failed,2025-11-15T16:03:31Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:03:17Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:02:27Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:01:02Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T16:00:52Z,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,failed,card,LIVE,Kindly enter the OTP sent to 2347XXXXXXX22. OR enter the OTP generated on your Hardware Token or Sec,2025-11-15T15:59:52Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:56:27Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:56:01Z,,,,,,,,,,,,,,
